Size,PlainSum,AutoSum,AVXSum
1,1,1,1
2,1,1,1
4,1.000000000436504,1.000000000436504,1.000000000436504
8,1.000000000000173,1.000000000000173,1.000000000000173
16,1.000000000922452,1.000000000922452,1.000000000922452
32,0.9999999543568734,0.9999999543571079,0.9999999543571079
64,1.000000047431023,0.9999999240598567,1.000000047285504
128,0.9999998309927697,0.9999999521777127,0.9999999521788514
256,1.000000099557605,0.9999999635639888,0.9999999635660354
512,1.000000073386706,1.000000088349743,0.9999999652046946
1024,1.000000171502488,0.9999999549142423,1.000000017500426
2048,1.000000056948686,0.9999998632805372,1.000000041002002
4096,0.9999999806922592,1.000000265879313,1.000000028571738
8192,0.9999999427584941,1.000000252435592,0.9999999495298835
16384,1.000000035527901,1.000000098197618,1.00000002244215
32768,1.000000045981956,0.9999998387933272,1.000000047792199
65536,1.000000234216197,0.9999999560831599,0.9999999478696443
131072,1.00000054896391,1.000000190311413,0.999999950098125
262144,1.000001157305621,0.9999999332177098,1.000000149655173
524288,1.000001628694101,1.000000234270984,1.000000120975775
1048576,1.000003489430907,1.000000350517071,1.000000143034459
2097152,1.0000057578833,1.000000074846304,0.9999998724229964
4194304,1.000012452472408,1.000000011703985,0.9999996344129405
8388608,1.000023502065976,1.00000009756,1.000000179713946
13295900,1.000034503923773,1.000000209415769,0.9999997924258531
16777216,1.000042165216696,1.000000061471061,0.9999998856929101
20723499,1.000050590182887,1.000000337663966,1.000000021230206
33554432,1.000086998423015,1.000000436132295,0.9999997767646094
46726542,1.00011201575915,1.000000873117269,1.000000087578858
50254358,1.000112704574308,1.000000774706275,1.000000052049278
67108864,1.000164978110915,1.000000724810205,0.9999998576499731
69357837,1.000171670643997,1.000000832742121,1.00000002003853
101005081,1.000223398786556,1.000001218667782,0.9999999490285487
101116861,1.000222637553682,1.00000144817231,1.000000061551109
107424610,1.000232588509559,1.000001476501905,0.9999999483741581
131552799,1.000311020477378,1.000001642515863,0.9999998686498864
134217728,1.000313803714106,1.000001498605884,1.000000290699666
146321680,1.000342880212,1.000001389791908,0.9999999154746208
154526536,1.000364206021277,1.00000165846726,0.9999999352063281
160329483,1.000371693054909,1.000001775304741,1.000000169533149
227302173,1.000482231986099,1.000002918282081,0.9999998247935332
268435456,1.000610431297629,1.000003310990195,1.000000053439391
294070078,1.000676428488508,1.000003285913792,1.000000047397446
319577746,1.000735974033524,1.000003568436083,0.9999998080653304
347632774,1.000779343564323,1.000003900619677,1.000000013882824
400385119,1.000849995615305,1.000004786647761,0.999999923186327
412258736,1.000866198744596,1.000005035312824,1.000000035129284
419050169,1.000867754300508,1.000004846958607,0.9999999875700834
446654371,1.000895560250137,1.000005195986278,1.000000267838743
446728794,1.00089537905132,1.000005222686371,1.000000176677565
456613964,1.000919092650413,1.000005478672566,1.000000026678162
479100319,1.001000546637077,1.000005520085639,0.999999874894012
482019966,1.001006820842209,1.000005987073773,0.9999999944330608
493320043,1.001044346981421,1.000005563736465,0.9999999534419164
524911875,1.001141023983647,1.000006055815679,1.000000101763717
529436196,1.001151346635345,1.000006030209888,1.00000002812483
536870912,1.001167750911825,1.000005953691755,0.999999940069084
562324595,1.001236221835177,1.000006151190937,1.000000083873506
569256355,1.001254390858383,1.000006309543289,1.000000099696768
576524529,1.001274340634805,1.000006291750414,1.000000081353995
616940167,1.001363584772828,1.000006430140779,1.000000120895038
651956048,1.001430540461363,1.000006877286128,1.000000230885669
684336620,1.001477347787596,1.000006840282267,0.9999997918966752
686154735,1.001478815312242,1.000007169369361,0.9999997501938304
716297391,1.001527882631977,1.000007535616593,1.000000356904797
735804442,1.001556643995122,1.000008022336417,0.9999998103453848
751468906,1.00158096500059,1.000008235546022,1.000000049372339
798486655,1.001644852286931,1.000008852220914,0.9999999800624757
800115372,1.001647651949628,1.000008665601212,0.9999999805633015
802732171,1.001650261271402,1.00000881970779,1.000000312326951
806347232,1.001653752064175,1.000008817723858,1.000000171310325
807609760,1.001655463681938,1.000009007944963,0.9999999372647103
808762218,1.001655151753079,1.000009152991248,0.9999999659881443
810842080,1.001655860526224,1.000009208126361,1.000000205496556
830022643,1.001681789910367,1.000009283795102,0.999999974274373
863645355,1.001720589782988,1.000009482192229,0.9999999235533865
887501043,1.001750684068497,1.000010088105505,0.9999999430874102
969877668,1.00190220915884,1.000010840091821,0.9999999234298574
994394980,1.001982190540842,1.000011235272247,0.9999999327698546
1015436018,1.002045188620468,1.000011450447334,1.000000112148762
1073741824,1.002214229539397,1.000011754916658,1.00000027217972
