Size,PlainSum,AutoSum,AVXSum
1,1,1,1
2,1,1,1
4,1.000000000436504,1.000000000436504,1.000000000436504
8,1.000000000000173,1.000000000000173,1.000000000000173
16,1.000000000922452,1.000000000922452,1.000000000922452
32,0.9999999543568734,0.9999999542404581,0.9999999543571079
64,1.000000047431023,1.000000047314608,1.000000047285504
128,0.9999998309927697,0.9999998291301245,0.9999999521788514
256,1.000000099557605,1.000000098626283,0.9999999635660354
512,1.000000073386706,1.000000073393985,0.9999999652046946
1024,1.000000171502488,1.000000044081501,1.000000017500426
2048,1.000000056948686,0.9999999724006412,1.000000041002002
4096,0.9999999806922592,0.9999999649726059,1.000000028571738
8192,0.9999999427584941,0.9999999462009953,0.9999999495298835
12985,1.000000073299217,1.000000076983728,1.00000005949204
16384,1.000000035527901,1.000000031163898,1.00000002244215
32768,1.000000045981956,1.000000047212676,1.000000047792199
65536,1.000000234216197,1.000000090919564,0.9999999478696443
98638,1.000000446842904,1.000000445624765,1.000000063691339
131072,1.00000054896391,1.000000429067236,0.999999950098125
142893,1.00000050516355,1.000000378880232,1.000000061694768
262144,1.000001157305621,1.000000490120065,0.99999992710974
287178,1.000001387874192,1.000000344471556,0.9999999695229255
391002,1.000000733495767,1.00000032459597,0.9999999899430281
409229,1.000000980066571,1.000000640160289,1.000000205194763
524288,1.000001628694101,1.000000985754291,1.000000120975775
549146,1.000001753813063,1.00000107573307,0.9999996054633927
602481,1.000002168252589,1.000001247196425,1.000000078561451
668298,1.000002674113326,1.000000965190436,0.9999997295388862
670073,1.000001555369469,1.000001349414613,0.9999998420760148
718560,1.000002472201657,1.000001243283276,0.9999998652817439
788682,1.00000249116415,1.000001317646949,0.9999998246156624
791838,1.000002042405057,1.000001337156071,1.000000075430073
866701,1.000002521526512,1.000001326218955,1.000000129985085
947147,1.000002727731119,1.00000162086776,0.9999997749802248
1048576,1.000003489430907,1.00000207077506,1.000000143034459
