Test_Name,Data_Size,Payload_Size,MPI_Processes,Parallel_Threads,Total_Time_ms,Throughput_MRec_per_sec,Parallel_Speedup,MPI_Efficiency_Percent,Total_Efficiency_Percent
Parallel_Baseline,15000000,8,1,16,2186.33,6.86082,1,100,100
Hybrid_MPI_Parallel,30000000,8,2,16,5778.83,5.19136,0.378335,18.9167,1.1823
Hybrid_MPI_Parallel,60000000,8,4,16,8181.22,7.33387,0.267238,6.68094,0.417559
Hybrid_MPI_Parallel,120000000,8,8,16,15219,7.88487,0.143658,1.79572,0.112233
