Test_Name,Data_Size,Payload_Size,MPI_Processes,Parallel_Threads,Total_Time_ms,Throughput_MRec_per_sec,Parallel_Speedup,MPI_Efficiency_Percent,Total_Efficiency_Percent
Parallel_Baseline,100000000,8,1,16,14975.1,6.67777,1,100,100
Hybrid_MPI_Parallel,100000000,8,2,16,19349.5,5.16808,0.773925,38.6963,2.41852
Hybrid_MPI_Parallel,100000000,8,4,16,16809.8,5.94892,0.890857,22.2714,1.39196
Hybrid_MPI_Parallel,100000000,8,8,16,16209.2,6.16934,0.923865,11.5483,0.72177
