WorkloadID,WorkloadDescription,SchedulerName,SchedulerType,StaticVariant,NumThreads,ChunkSize,ExecutionTimeMs,BaselineTimeMs,Speedup
0,"Medium Balanced (1-100k)","Static Block",Static,Block,56,N/A,2.7113,22.2630,8.2113
0,"Medium Balanced (1-100k)","Static Block",Static,Block,57,N/A,2.6904,22.2630,8.2751
0,"Medium Balanced (1-100k)","Static Block",Static,Block,58,N/A,2.6342,22.2630,8.4516
0,"Medium Balanced (1-100k)","Static Block",Static,Block,59,N/A,2.7737,22.2630,8.0265
0,"Medium Balanced (1-100k)","Static Block",Static,Block,60,N/A,2.7863,22.2630,7.9901
0,"Medium Balanced (1-100k)","Static Block",Static,Block,61,N/A,2.7875,22.2630,7.9868
0,"Medium Balanced (1-100k)","Static Block",Static,Block,62,N/A,2.9205,22.2630,7.6231
0,"Medium Balanced (1-100k)","Static Block",Static,Block,63,N/A,3.0092,22.2630,7.3984
0,"Medium Balanced (1-100k)","Static Block",Static,Block,64,N/A,2.8330,22.2630,7.8584
0,"Medium Balanced (1-100k)","Static Block",Static,Block,65,N/A,2.9676,22.2630,7.5019
0,"Medium Balanced (1-100k)","Static Block",Static,Block,66,N/A,2.9913,22.2630,7.4427
0,"Medium Balanced (1-100k)","Static Block",Static,Block,67,N/A,2.9509,22.2630,7.5445
0,"Medium Balanced (1-100k)","Static Block",Static,Block,68,N/A,2.9975,22.2630,7.4272
0,"Medium Balanced (1-100k)","Static Block",Static,Block,69,N/A,2.9637,22.2630,7.5118
0,"Medium Balanced (1-100k)","Static Block",Static,Block,70,N/A,2.9914,22.2630,7.4424
0,"Medium Balanced (1-100k)","Static Block",Static,Block,71,N/A,3.0179,22.2630,7.3770
0,"Medium Balanced (1-100k)","Static Block",Static,Block,72,N/A,3.0908,22.2630,7.2030
0,"Medium Balanced (1-100k)","Static Block",Static,Block,73,N/A,3.1709,22.2630,7.0209
0,"Medium Balanced (1-100k)","Static Block",Static,Block,74,N/A,3.1467,22.2630,7.0751
0,"Medium Balanced (1-100k)","Static Block",Static,Block,75,N/A,3.0817,22.2630,7.2244
0,"Medium Balanced (1-100k)","Static Block",Static,Block,76,N/A,3.1292,22.2630,7.1146
0,"Medium Balanced (1-100k)","Static Block",Static,Block,77,N/A,3.1526,22.2630,7.0619
0,"Medium Balanced (1-100k)","Static Block",Static,Block,78,N/A,3.1671,22.2630,7.0294
0,"Medium Balanced (1-100k)","Static Block",Static,Block,79,N/A,3.1671,22.2630,7.0295
0,"Medium Balanced (1-100k)","Static Block",Static,Block,80,N/A,3.2733,22.2630,6.8014
0,"Medium Balanced (1-100k)","Static Block",Static,Block,81,N/A,3.2961,22.2630,6.7543
0,"Medium Balanced (1-100k)","Static Block",Static,Block,82,N/A,3.2025,22.2630,6.9517
0,"Medium Balanced (1-100k)","Static Block",Static,Block,83,N/A,3.1315,22.2630,7.1094
0,"Medium Balanced (1-100k)","Static Block",Static,Block,84,N/A,3.2188,22.2630,6.9167
0,"Medium Balanced (1-100k)","Static Block",Static,Block,85,N/A,3.2640,22.2630,6.8208
0,"Medium Balanced (1-100k)","Static Block",Static,Block,86,N/A,3.2851,22.2630,6.7769
0,"Medium Balanced (1-100k)","Static Block",Static,Block,87,N/A,3.3860,22.2630,6.5750
0,"Medium Balanced (1-100k)","Static Block",Static,Block,88,N/A,3.2883,22.2630,6.7703
0,"Medium Balanced (1-100k)","Static Block",Static,Block,89,N/A,3.3584,22.2630,6.6291
0,"Medium Balanced (1-100k)","Static Block",Static,Block,90,N/A,3.2891,22.2630,6.7688
0,"Medium Balanced (1-100k)","Static Block",Static,Block,91,N/A,3.3623,22.2630,6.6215
0,"Medium Balanced (1-100k)","Static Block",Static,Block,92,N/A,3.3802,22.2630,6.5863
0,"Medium Balanced (1-100k)","Static Block",Static,Block,93,N/A,3.3096,22.2630,6.7268
0,"Medium Balanced (1-100k)","Static Block",Static,Block,94,N/A,3.4204,22.2630,6.5089
0,"Medium Balanced (1-100k)","Static Block",Static,Block,95,N/A,3.4782,22.2630,6.4007
0,"Medium Balanced (1-100k)","Static Block",Static,Block,96,N/A,3.6194,22.2630,6.1510
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,2,N/A,12.5795,22.2630,1.7698
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,3,N/A,7.9789,22.2630,2.7902
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,4,N/A,6.8033,22.2630,3.2724
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,5,N/A,4.9571,22.2630,4.4912
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,6,N/A,5.2010,22.2630,4.2806
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,7,N/A,3.7153,22.2630,5.9923
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,8,N/A,3.8974,22.2630,5.7122
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,9,N/A,3.1484,22.2630,7.0712
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,10,N/A,3.9133,22.2630,5.6891
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,11,N/A,3.6995,22.2630,6.0179
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,12,N/A,3.2827,22.2630,6.7820
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,13,N/A,3.0544,22.2630,7.2889
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,14,N/A,3.8532,22.2630,5.7779
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,15,N/A,2.8449,22.2630,7.8257
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,16,N/A,3.1333,22.2630,7.1053
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,17,N/A,2.9087,22.2630,7.6540
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,18,N/A,3.5572,22.2630,6.2586
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,19,N/A,2.7832,22.2630,7.9992
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,20,N/A,2.7065,22.2630,8.2259
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,21,N/A,2.3958,22.2630,9.2926
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,22,N/A,4.4170,22.2630,5.0403
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,23,N/A,3.8174,22.2630,5.8321
