WorkloadID,WorkloadDescription,SchedulerName,SchedulerType,StaticVariant,NumThreads,ChunkSize,ExecutionTimeMs,BaselineTimeMs,Speedup
0,"Medium Balanced (1-100k)","Static Block",Static,Block,56,N/A,2.5031,23.8435,9.5256
0,"Medium Balanced (1-100k)","Static Block",Static,Block,57,N/A,2.5375,23.8435,9.3965
0,"Medium Balanced (1-100k)","Static Block",Static,Block,58,N/A,2.6836,23.8435,8.8847
0,"Medium Balanced (1-100k)","Static Block",Static,Block,59,N/A,2.6626,23.8435,8.9549
0,"Medium Balanced (1-100k)","Static Block",Static,Block,60,N/A,2.9596,23.8435,8.0564
0,"Medium Balanced (1-100k)","Static Block",Static,Block,61,N/A,2.4780,23.8435,9.6222
0,"Medium Balanced (1-100k)","Static Block",Static,Block,62,N/A,2.9104,23.8435,8.1926
0,"Medium Balanced (1-100k)","Static Block",Static,Block,63,N/A,2.7639,23.8435,8.6268
0,"Medium Balanced (1-100k)","Static Block",Static,Block,64,N/A,2.9862,23.8435,7.9845
0,"Medium Balanced (1-100k)","Static Block",Static,Block,65,N/A,3.0562,23.8435,7.8017
0,"Medium Balanced (1-100k)","Static Block",Static,Block,66,N/A,3.0684,23.8435,7.7708
0,"Medium Balanced (1-100k)","Static Block",Static,Block,67,N/A,3.1747,23.8435,7.5104
0,"Medium Balanced (1-100k)","Static Block",Static,Block,68,N/A,3.0493,23.8435,7.8194
0,"Medium Balanced (1-100k)","Static Block",Static,Block,69,N/A,2.9464,23.8435,8.0924
0,"Medium Balanced (1-100k)","Static Block",Static,Block,70,N/A,3.0138,23.8435,7.9115
0,"Medium Balanced (1-100k)","Static Block",Static,Block,71,N/A,3.0626,23.8435,7.7853
0,"Medium Balanced (1-100k)","Static Block",Static,Block,72,N/A,3.1123,23.8435,7.6610
0,"Medium Balanced (1-100k)","Static Block",Static,Block,73,N/A,3.1104,23.8435,7.6657
0,"Medium Balanced (1-100k)","Static Block",Static,Block,74,N/A,3.0689,23.8435,7.7693
0,"Medium Balanced (1-100k)","Static Block",Static,Block,75,N/A,3.1262,23.8435,7.6269
0,"Medium Balanced (1-100k)","Static Block",Static,Block,76,N/A,3.3617,23.8435,7.0927
0,"Medium Balanced (1-100k)","Static Block",Static,Block,77,N/A,3.3465,23.8435,7.1248
0,"Medium Balanced (1-100k)","Static Block",Static,Block,78,N/A,3.3578,23.8435,7.1009
0,"Medium Balanced (1-100k)","Static Block",Static,Block,79,N/A,3.1990,23.8435,7.4534
0,"Medium Balanced (1-100k)","Static Block",Static,Block,80,N/A,3.2820,23.8435,7.2650
0,"Medium Balanced (1-100k)","Static Block",Static,Block,81,N/A,3.3685,23.8435,7.0784
0,"Medium Balanced (1-100k)","Static Block",Static,Block,82,N/A,3.1842,23.8435,7.4880
0,"Medium Balanced (1-100k)","Static Block",Static,Block,83,N/A,3.2285,23.8435,7.3853
0,"Medium Balanced (1-100k)","Static Block",Static,Block,84,N/A,3.3078,23.8435,7.2083
0,"Medium Balanced (1-100k)","Static Block",Static,Block,85,N/A,3.1207,23.8435,7.6404
0,"Medium Balanced (1-100k)","Static Block",Static,Block,86,N/A,3.3859,23.8435,7.0421
0,"Medium Balanced (1-100k)","Static Block",Static,Block,87,N/A,3.7453,23.8435,6.3662
0,"Medium Balanced (1-100k)","Static Block",Static,Block,88,N/A,3.4092,23.8435,6.9939
0,"Medium Balanced (1-100k)","Static Block",Static,Block,89,N/A,3.3857,23.8435,7.0423
0,"Medium Balanced (1-100k)","Static Block",Static,Block,90,N/A,3.3945,23.8435,7.0241
0,"Medium Balanced (1-100k)","Static Block",Static,Block,91,N/A,3.4095,23.8435,6.9932
0,"Medium Balanced (1-100k)","Static Block",Static,Block,92,N/A,3.1758,23.8435,7.5079
0,"Medium Balanced (1-100k)","Static Block",Static,Block,93,N/A,3.3970,23.8435,7.0189
0,"Medium Balanced (1-100k)","Static Block",Static,Block,94,N/A,3.3174,23.8435,7.1874
0,"Medium Balanced (1-100k)","Static Block",Static,Block,95,N/A,3.4296,23.8435,6.9523
0,"Medium Balanced (1-100k)","Static Block",Static,Block,96,N/A,3.2989,23.8435,7.2277
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,2,N/A,13.4251,23.8435,1.7760
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,3,N/A,8.4664,23.8435,2.8162
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,4,N/A,7.2633,23.8435,3.2827
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,5,N/A,5.2427,23.8435,4.5479
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,6,N/A,4.6946,23.8435,5.0789
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,7,N/A,4.2877,23.8435,5.5609
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,8,N/A,4.0773,23.8435,5.8478
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,9,N/A,5.2985,23.8435,4.5001
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,10,N/A,5.2573,23.8435,4.5353
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,11,N/A,4.0129,23.8435,5.9417
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,12,N/A,4.7555,23.8435,5.0138
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,13,N/A,7.7768,23.8435,3.0660
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,14,N/A,5.8824,23.8435,4.0533
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,15,N/A,6.6957,23.8435,3.5610
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,16,N/A,4.1569,23.8435,5.7359
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,17,N/A,3.7403,23.8435,6.3747
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,18,N/A,3.2546,23.8435,7.3260
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,19,N/A,5.3078,23.8435,4.4922
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,20,N/A,4.1692,23.8435,5.7190
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,21,N/A,3.1694,23.8435,7.5231
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,22,N/A,4.1011,23.8435,5.8140
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,23,N/A,3.6178,23.8435,6.5905
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,24,N/A,5.0327,23.8435,4.7377
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,25,N/A,4.5156,23.8435,5.2803
0,"Medium Balanced (1-100k)","Static Cyclic",Static,Cyclic,26,N/A,5.1064,23.8435,4.6693
