N,R,T,P,mean_time_sec,std_dev_time_sec,min_time_sec,max_time_sec
1M,64,1,1,1.02303800000000000000,.00773612758426333090,1.014,1.03113
1M,64,2,1,.98619220000000000000,.00735440831746511066,0.976671,0.993183
1M,64,4,1,.96499000000000000000,.00482619140731073781,0.961434,0.973292
1M,64,6,1,.96945580000000000000,.01345195475386384133,0.954654,0.990979
1M,64,8,1,.97857360000000000000,.00488329046852631939,0.971823,0.985199
1M,64,12,1,.99843540000000000000,.01471496380559598930,0.98248,1.01522
